       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114394          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447068        -137.30231349
    2300          53.81193894          17.16313902        -154.43944723        -137.27630821
    2400          59.52572194          18.98553111        -156.33952786        -137.35399675
    2500          58.92686583          18.79452795        -156.03041540        -137.23588745
    2600          61.65941062          19.66606402        -156.94491185        -137.27884783
    2700          58.81987817          18.76040459        -156.07031130        -137.30990671
    2800          53.15475456          16.95353225        -154.26693036        -137.31339812
    2900          54.95193262          17.52673621        -154.82877235        -137.30203614
    3000          55.99963497          17.86089739        -155.23428932        -137.37339192
    3100          56.97369957          18.17157206        -155.46229977        -137.29072771
    3200          54.82660710          17.48676405        -154.82425916        -137.33749510
    3300          58.17829359          18.55577332        -155.99088435        -137.43511103
    3400          57.28761306          18.27169372        -155.64132214        -137.36962841
    3500          55.43527107          17.68089540        -155.09613446        -137.41523905
    3600          55.08691029          17.56978689        -155.00142981        -137.43164292
    3700          56.84782847          18.13142589        -155.56343006        -137.43200417
    3800          51.62372135          16.46521429        -153.98184863        -137.51663433
    3900          52.18983985          16.64577591        -154.10781497        -137.46203906
    4000          52.04646366          16.60004655        -153.99306499        -137.39301844
    4100          56.74144850          18.09749635        -155.56836934        -137.47087299
    4200          51.99609326          16.58398108        -154.04211565        -137.45813457
    4300          51.52718264          16.43442359        -153.89681817        -137.46239458
    4400          53.08976250          16.93280324        -154.37622394        -137.44342069
    4500          55.29284540          17.63546921        -154.99655086        -137.36108165
    4600          50.51778311          16.11247897        -153.48077530        -137.36829633
    4700          54.83172123          17.48839519        -154.82512543        -137.33673024
    4800          51.59110328          16.45481087        -153.92078841        -137.46597754
    4900          44.24825147          14.11283270        -151.44421006        -137.33137737
    5000          51.38706327          16.38973299        -153.82536687        -137.43563388
    5100          51.51546345          16.43068580        -153.85796404        -137.42727824
    5200          52.08903681          16.61362511        -153.90761103        -137.29398591
    5300          55.73048111          17.77505166        -155.15944592        -137.38439425
    5400          52.16185417          16.63684997        -154.00905262        -137.37220265
    5500          51.70486454          16.49109465        -153.86355654        -137.37246190
    5600          51.33042935          16.37166979        -153.80742779        -137.43575800
    5700          51.36124124          16.38149713        -153.83325407        -137.45175694
    5800          56.68464489          18.07937903        -155.46117970        -137.38180067
    5900          51.14952394          16.31397061        -153.63709210        -137.32312149
    6000          55.25414363          17.62312541        -154.99709779        -137.37397238
    6100          59.63935463          19.02177388        -156.46656927        -137.44479539
    6200          54.32044819          17.32532635        -154.76589206        -137.44056570
    6300          50.17444546          16.00297257        -153.34934580        -137.34637323
    6400          50.55538438          16.12447177        -153.49386108        -137.36938931
    6500          49.68958134          15.84832677        -153.29912906        -137.45080229
    6600          57.45504846          18.32509669        -155.75772948        -137.43263279
    6700          53.31766566          17.00549220        -154.40668292        -137.40119072
    6800          53.08818818          16.93230112        -154.33754921        -137.40524809
    6900          54.71004839          17.44958804        -154.82843433        -137.37884628
    7000          51.50788361          16.42826823        -153.80242855        -137.37416032
    7100          52.91141606          16.87592024        -154.39507079        -137.51915055
    7200          51.53995586          16.43849757        -153.93355172        -137.49505415
    7300          54.19541400          17.28544711        -154.63690872        -137.35146161
    7400          52.23674212          16.66073523        -154.17161023        -137.51087500
    7500          51.45770598          16.41226424        -153.80972722        -137.39746298
    7600          56.90708996          18.15032715        -155.50843170        -137.35810456
    7700          50.03242804          15.95767658        -153.23305975        -137.27538317
    7800          51.11865448          16.30412490        -153.61058887        -137.30646397
    7900          53.84723356          17.17439612        -154.64238119        -137.46798507
    8000          57.86161952          18.45477118        -155.89834853        -137.44357735
    8100          48.48430933          15.46390927        -152.81325892        -137.34934965
    8200          53.91695044          17.19663209        -154.65668434        -137.46005225
    8300          55.32944208          17.64714160        -155.04476787        -137.39762627
    8400          57.68808985          18.39942447        -155.80486144        -137.40543698
    8500          54.12926754          17.26434992        -154.66569446        -137.40134454
    8600          48.88893802          15.59296424        -153.01285430        -137.41989006
    8700          50.24051448          16.02404506        -153.36974938        -137.34570432
    8800          48.48926814          15.46549086        -152.79942013        -137.33392927
    8900          49.96467418          15.93606671        -153.38017544        -137.44410872
    9000          50.36296995          16.06310183        -153.45145364        -137.38835181
    9100          53.80246560          17.16011753        -154.54097027        -137.38085274
    9200          54.21078744          17.29035042        -154.72660194        -137.43625152
